 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0052422	  -0.0004467	  -0.0004203	  -0.0000800	   0.0006186	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0019303	   0.0018923	  -0.0489900
   0.0048129	   0.0002841	   0.0000203	  -0.0000262	   0.0002860	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0033866	   0.0025311	  -0.0696993
   0.0077495	   0.0003487	  -0.0001358	  -0.0000918	   0.0003853	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0018459	   0.0018459	  -0.0651229
   0.0079632	   0.0003445	  -0.0004276	  -0.0000191	   0.0005494	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0016951	   0.0016771	  -0.0649085
   0.0046467	  -0.0002145	  -0.0005388	  -0.0000276	   0.0005806	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0020099	   0.0018681	  -0.0471535
   0.0074435	   0.0004988	  -0.0001562	  -0.0000113	   0.0005229	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0037888	   0.0033143	  -0.0911468
   0.0037909	  -0.0002595	  -0.0002635	  -0.0000030	   0.0003699	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0014374	   0.0011743	  -0.0333374
   0.0056122	   0.0005365	  -0.0000563	  -0.0000172	   0.0005397	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0035230	   0.0029840	  -0.0760222
   0.0046577	   0.0000259	  -0.0004957	  -0.0001166	   0.0005099	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0033025	   0.0031695	  -0.0605622
   0.0074594	   0.0000299	  -0.0006879	  -0.0000441	   0.0006900	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0046303	   0.0039325	  -0.1036893
   0.0039679	  -0.0001113	  -0.0000371	  -0.0000280	   0.0001206	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0014567	   0.0011176	  -0.0357761
   0.0053624	   0.0000265	  -0.0003339	  -0.0000635	   0.0003409	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0040382	   0.0033127	  -0.0819705
   0.0060941	   0.0001592	  -0.0006253	  -0.0001220	   0.0006567	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0021264	   0.0020115	  -0.0577958
   0.0053928	   0.0002949	  -0.0004187	  -0.0001263	   0.0005275	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0036723	   0.0030822	  -0.0767663
   0.0042918	  -0.0000905	  -0.0003981	   0.0000834	   0.0004167	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026259	   0.0015761	  -0.0586129
   0.0067106	   0.0002989	  -0.0005308	  -0.0000381	   0.0006103	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0050716	   0.0046195	  -0.1017822
   0.0058610	  -0.0000760	   0.0000004	  -0.0001165	   0.0001391	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026510	   0.0020473	  -0.0663879
   0.0059299	  -0.0000914	  -0.0002377	  -0.0000131	   0.0002550	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0027202	   0.0021204	  -0.0677766
   0.0084541	   0.0003487	  -0.0002936	  -0.0001018	   0.0004671	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0018629	   0.0018629	  -0.0699901
   0.0050697	   0.0000554	  -0.0004606	  -0.0000085	   0.0004640	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030611	   0.0023837	  -0.0665966
   0.0049756	  -0.0000210	  -0.0007271	  -0.0000025	   0.0007274	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0022615	   0.0012084	  -0.0568775
   0.0049842	   0.0002218	  -0.0001786	  -0.0000990	   0.0003015	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026488	   0.0022524	  -0.0591144
   0.0043403	  -0.0003387	  -0.0002387	  -0.0000115	   0.0004145	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0014408	   0.0007562	  -0.0353370
   0.0048121	   0.0004722	  -0.0003155	  -0.0000529	   0.0005704	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0024476	   0.0021137	  -0.0549288
   0.0046762	   0.0004495	  -0.0003194	  -0.0000050	   0.0005514	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025512	   0.0021752	  -0.0560790
   0.0039022	  -0.0001104	  -0.0003756	  -0.0000625	   0.0003964	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0011563	   0.0006863	  -0.0307569
   0.0047220	  -0.0001537	  -0.0005956	  -0.0000864	   0.0006211	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0015867	   0.0009539	  -0.0439938
   0.0065863	  -0.0001049	  -0.0002307	  -0.0000406	   0.0002566	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0032815	   0.0028359	  -0.0787782
   0.0053579	  -0.0004471	  -0.0005015	  -0.0001646	   0.0006918	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0040199	   0.0035066	  -0.0806316
   0.0047461	  -0.0003602	  -0.0004141	  -0.0001578	   0.0005711	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025360	   0.0019067	  -0.0573852
   0.0042641	   0.0004948	  -0.0006616	   0.0000516	   0.0008278	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025085	   0.0017919	  -0.0537621
   0.0063325	   0.0002032	  -0.0000964	   0.0000285	   0.0002267	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0027999	   0.0024243	  -0.0706777
   0.0055339	  -0.0003284	  -0.0003166	  -0.0001866	   0.0004929	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0037949	   0.0030417	  -0.0800016
   0.0065271	   0.0002899	  -0.0005760	   0.0000384	   0.0006459	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0043167	   0.0042039	  -0.0852425
