         # x	           y	           z	          vx	          vy	          vz
  -0.6544984	  -1.8256221	   0.0150226	   0.0005962	   0.0016194	   0.0000045
  -0.6409200	  -1.7898908	   0.0151202	   0.0006258	   0.0015962	   0.0000043
  -0.6266877	  -1.7546861	   0.0152123	   0.0006551	   0.0015720	   0.0000040
  -0.6118065	  -1.7200326	   0.0152989	   0.0006842	   0.0015466	   0.0000038
  -0.5962818	  -1.6859547	   0.0153801	   0.0007130	   0.0015202	   0.0000035
  -0.5801192	  -1.6524767	   0.0154558	   0.0007416	   0.0014926	   0.0000033
  -0.5633244	  -1.6196227	   0.0155259	   0.0007699	   0.0014640	   0.0000030
  -0.5633244	  -1.6196227	   0.0155259	   0.0006665	   0.0014849	  -0.0000035
  -0.5481917	  -1.5869094	   0.0154446	   0.0006954	   0.0014591	  -0.0000038
  -0.5324207	  -1.5547812	   0.0153578	   0.0007240	   0.0014322	  -0.0000040
  -0.5160172	  -1.5232622	   0.0152655	   0.0007523	   0.0014043	  -0.0000043
  -0.4989869	  -1.4923761	   0.0151677	   0.0007804	   0.0013753	  -0.0000045
  -0.4813359	  -1.4621466	   0.0150645	   0.0008082	   0.0013452	  -0.0000048
  -0.4630707	  -1.4325971	   0.0149559	   0.0008357	   0.0013141	  -0.0000050
  -0.4441977	  -1.4037508	   0.0148419	   0.0008629	   0.0012819	  -0.0000052
  -0.4247238	  -1.3756304	   0.0147226	   0.0008897	   0.0012487	  -0.0000055
  -0.4046558	  -1.3482586	   0.0145980	   0.0009163	   0.0012145	  -0.0000057
  -0.4046558	  -1.3482586	   0.0145980	   0.0008735	   0.0012118	  -0.0000184
  -0.3849542	  -1.3217019	   0.0141860	   0.0008996	   0.0011782	  -0.0000187
  -0.3646751	  -1.2959022	   0.0137689	   0.0009254	   0.0011436	  -0.0000189
  -0.3438260	  -1.2708811	   0.0133468	   0.0009509	   0.0011081	  -0.0000191
  -0.3224141	  -1.2466600	   0.0129200	   0.0009761	   0.0010716	  -0.0000193
  -0.3004473	  -1.2232603	   0.0124885	   0.0010009	   0.0010342	  -0.0000195
  -0.2779334	  -1.2007027	   0.0120526	   0.0010253	   0.0009958	  -0.0000197
  -0.2548804	  -1.1790077	   0.0116123	   0.0010494	   0.0009566	  -0.0000199
  -0.2312966	  -1.1581957	   0.0111679	   0.0010731	   0.0009164	  -0.0000201
  -0.2071905	  -1.1382866	   0.0107195	   0.0010964	   0.0008753	  -0.0000203
  -0.2071905	  -1.1382866	   0.0107195	   0.0009386	   0.0008619	  -0.0000533
  -0.1860835	  -1.1195316	   0.0095337	   0.0009610	   0.0008259	  -0.0000534
  -0.1644816	  -1.1015852	   0.0083444	   0.0009831	   0.0007891	  -0.0000536
  -0.1423926	  -1.0844659	   0.0071522	   0.0010048	   0.0007515	  -0.0000537
  -0.1198244	  -1.0681921	   0.0059574	   0.0010262	   0.0007130	  -0.0000538
  -0.0967851	  -1.0527818	   0.0047604	   0.0010472	   0.0006738	  -0.0000539
  -0.0732830	  -1.0382526	   0.0035618	   0.0010679	   0.0006337	  -0.0000540
  -0.0493265	  -1.0246219	   0.0023619	   0.0010881	   0.0005929	  -0.0000540
  -0.0249241	  -1.0119067	   0.0011611	   0.0011080	   0.0005513	  -0.0000540
  -0.0000847	  -1.0001239	  -0.0000401	   0.0011275	   0.0005090	  -0.0000541
  -0.0000847	  -1.0001239	  -0.0000401	   0.0000000	   0.0000000	   0.0000000
