 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0052145	   0.0001693	  -0.0001220	   0.0002135	   0.0002985	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0347634
   0.0080502	   0.0000034	  -0.0002288	  -0.0000707	   0.0002395	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0536679
   0.0044630	  -0.0000498	   0.0003898	   0.0002267	   0.0004536	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0297533
   0.0057858	  -0.0001978	   0.0002481	  -0.0002114	   0.0003813	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0385720
   0.0064764	   0.0001605	  -0.0003884	  -0.0000265	   0.0004211	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0431762
   0.0057965	   0.0002871	  -0.0002094	  -0.0002136	   0.0004146	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0386433
   0.0046304	  -0.0006919	   0.0003045	   0.0000213	   0.0007562	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0311255
   0.0071597	   0.0001717	  -0.0001329	  -0.0000776	   0.0002306	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0477313
   0.0062583	  -0.0000070	   0.0002328	  -0.0000712	   0.0002435	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0417221
   0.0063662	  -0.0003040	   0.0001285	  -0.0000237	   0.0003309	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0424415
   0.0094242	   0.0005184	   0.0002728	  -0.0004445	   0.0007353	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0630633
   0.0053726	  -0.0003101	   0.0000206	   0.0001248	   0.0003349	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0358170
   0.0053121	  -0.0000759	  -0.0004164	   0.0001986	   0.0004675	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0354143
   0.0052004	   0.0002507	   0.0000214	  -0.0000413	   0.0002550	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0346696
   0.0045874	  -0.0004821	   0.0003398	   0.0004279	   0.0007287	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0308110
   0.0051456	   0.0002431	  -0.0000250	   0.0000601	   0.0002517	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0343038
   0.0050411	   0.0002114	  -0.0001197	   0.0001535	   0.0002874	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0336076
   0.0042689	  -0.0001376	   0.0002274	   0.0003046	   0.0004042	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0284591
   0.0049543	  -0.0001254	  -0.0003125	   0.0001386	   0.0003641	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0330289
   0.0070573	  -0.0002294	   0.0001779	  -0.0000811	   0.0003014	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0470487
   0.0057587	  -0.0004349	  -0.0002252	  -0.0003740	   0.0006162	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0385074
   0.0051753	  -0.0003756	  -0.0002216	  -0.0000904	   0.0004454	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0345017
   0.0045606	  -0.0000468	  -0.0000362	   0.0003373	   0.0003424	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0304041
   0.0067917	  -0.0000099	   0.0002210	   0.0000873	   0.0002378	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0452781
   0.0059371	  -0.0002368	  -0.0001049	  -0.0003761	   0.0004567	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0395809
   0.0071892	   0.0001045	  -0.0004157	  -0.0008822	   0.0009808	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0484087
   0.0049815	  -0.0000556	  -0.0000746	   0.0001905	   0.0002120	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0332102
